C,C#,D,D#,E,F,F#,G,G#,A,A#,B,label
0.0,0.295591215,0.0,0.077818494,0.0,0.0,0.324292667,0.0,0.083342218,0.0,0.218955406,0.0,7
0.074174421,0.197244671,0.0,0.10708873,0.132680724,0.0,0.030312749,0.018269678,0.114169862,0.129055676,0.098501744,0.098501744,14
0.255649322,0.0,0.20061528,0.0,0.213240386,0.052244218,0.005208563,0.17865374,0.0,0.041827092,0.0,0.052561399,1
0.44171279,0.0,0.071308698,0.0,0.058473231,0.045637764,0.0,0.183540874,0.0,0.083262173,0.0,0.11606447,1
0.192026566,0.0,0.037827678,0.0,0.118340248,0.064284687,0.0,0.248071939,0.0,0.186936888,0.0,0.152511994,1
0.13578403,0.0,0.062977297,0.0,0.062977297,0.0,0.0,0.198500173,0.0,0.164355953,0.0,0.37540525,8
0.383932122,0.0,0.065393624,0.0,0.196180871,0.090730751,0.0,0.238425505,0.0,0.025337127,0.0,0.0,1
0.142127872,0.011148502,0.090546598,0.045532437,0.229520875,0.065238272,0.00460791,0.045588056,0.034117687,0.213072582,0.030454461,0.088044748,22
0.01481601,0.0,0.007408005,0.01481601,0.217228715,0.0,0.201306031,0.175531833,0.0,0.080734626,0.05926404,0.228894728,17
0.053923275,0.0,0.224145418,0.0,0.09941026,0.139852716,0.0,0.187871447,0.0,0.240873609,0.053923275,0.0,15
0.165608533,0.0,0.107916534,0.0,0.061666591,0.452949865,0.0,0.105929238,0.0,0.046249943,0.059679295,0.0,6
0.257649726,0.0,0.080274761,0.0,0.160549522,0.17992016,0.0,0.175105697,0.0,0.087552849,0.0,0.058947284,1
0.0,0.015343619,0.0,0.0,0.0,0.030687238,0.393547795,0.0,0.283779688,0.0,0.169544653,0.107097007,7
0.242787739,0.0,0.132400009,0.0,0.118855769,0.292627227,0.0,0.088266673,0.0,0.088266673,0.03679591,0.0,6
0.078686435,0.0,0.161956043,0.0,0.129006931,0.0,0.083269609,0.297272155,0.0,0.083269609,0.0,0.166539218,8
0.175038985,0.0,0.148424925,0.0,0.198894238,0.113502701,0.0,0.248393413,0.0,0.087247792,0.0,0.028497946,1
0.0,0.0,0.172906237,0.0,0.104188706,0.096204543,0.265365378,0.361335136,0.0,0.0,0.0,0.0,8
0.388678045,0.0,0.080368386,0.0,0.177388692,0.035088158,0.0,0.192828106,0.0,0.125648614,0.0,0.0,1
0.236004411,0.0,0.098902428,0.0,0.361536601,0.079121942,0.0,0.165093161,0.0,0.059341457,0.0,0.0,1
0.360736905,0.0,0.135803089,0.0,0.154169997,0.071878791,0.0,0.208859427,0.0,0.068551791,0.0,0.0,1
0.075082797,0.0,0.037541399,0.0,0.065324041,0.270764336,0.0,0.252740449,0.0,0.185922782,0.112624196,0.0,6
0.277030483,0.0,0.312991836,0.0,0.190800832,0.033512199,0.0,0.168908552,0.0,0.0,0.0,0.016756099,1
0.190259715,0.0,0.158443317,0.0,0.164685688,0.164685688,0.0,0.26290761,0.0,0.044263486,0.0,0.014754495,1
0.250683266,0.011338763,0.216417501,0.0,0.090710107,0.15814357,0.0,0.101317348,0.0,0.160050683,0.0,0.011338763,1
0.043017915,0.0,0.044410676,0.0,0.112364315,0.447707208,0.0,0.22205338,0.0,0.08603583,0.044410676,0.0,6
0.100489167,0.0,0.038878013,0.0,0.031196817,0.086422559,0.0,0.139128415,0.0,0.465623507,0.138261523,0.0,22
0.257862176,0.0,0.105336272,0.0,0.163374427,0.088084615,0.0,0.187252481,0.0,0.096554547,0.0,0.101535482,1
0.196111915,0.0,0.112660827,0.0,0.116737319,0.07071571,0.0,0.410384375,0.0,0.093389855,0.0,0.0,1
0.117348155,0.012760155,0.221607565,0.0,0.101574284,0.0,0.034444873,0.21362146,0.0,0.163228434,0.0,0.135415075,8
0.0,0.0,0.268461188,0.0,0.089000688,0.0,0.089000688,0.089000688,0.0,0.285076247,0.0,0.1794605,3
0.061203524,0.0,0.0,0.0,0.0,0.270684393,0.0,0.336601791,0.0,0.249905594,0.081604698,0.0,6
0.220237052,0.0,0.230882088,0.0,0.169584076,0.128471074,0.0,0.061177318,0.0,0.128471074,0.061177318,0.0,15
0.0,0.12678947,0.001999691,0.245517429,0.039990968,0.003456432,0.304547214,0.000506538,0.004251153,0.000833719,0.052107249,0.220000137,12
0.225413103,0.0,0.110197281,0.0,0.167171439,0.140242562,0.0,0.243836151,0.0,0.06465794,0.0,0.048481524,1
0.218688152,0.0,0.423809708,0.0,0.02161793,0.0,0.0,0.086602248,0.0,0.096312913,0.0,0.15296905,8
0.091311862,0.0,0.066192015,0.23158184,0.0,0.080357585,0.0,0.135128972,0.13963216,0.0,0.255795566,0.0,4
0.091311862,0.0,0.066192015,0.23158184,0.0,0.080357585,0.0,0.135128972,0.13963216,0.0,0.255795566,0.0,4
0.0,0.102195776,0.0,0.0,0.0,0.0,0.212324049,0.0,0.342740087,0.0,0.342740087,0.0,23
0.172758906,0.0,0.0,0.0,0.019769526,0.291304145,0.0,0.176888165,0.0,0.228948206,0.110331051,0.0,6
0.229928375,0.0,0.171389348,0.0,0.185725473,0.0,0.0,0.192599441,0.0,0.167269652,0.0,0.053087711,1
0.152319136,0.0,0.039059428,0.0,0.058910656,0.181774464,0.0,0.158583101,0.0,0.243446814,0.165906399,0.0,6
0.131055215,0.0,0.040203252,0.0,0.101437069,0.248779169,0.0,0.157927205,0.0,0.229676305,0.090921786,0.0,6
0.0,0.0,0.216495517,0.0,0.276176156,0.0,0.289324767,0.107039843,0.0,0.110963718,0.0,0.0,3
